id,x0,y0,StartNode,StartTime,xf,yf,FinalNode
30694,367397.88,3713458.78,1725,1462,367539.75,3713752.54,203
30695,367397.88,3713458.78,1725,1240,367276.51,3713641.71,3802
30696,367190.05,3713418.97,711,259,367276.51,3713641.71,3802
30697,367304.26,3713429.2,1723,842,367276.51,3713641.71,3802
30698,367408.33,3713425.03,1724,700,367276.51,3713641.71,3802
30700,367304.26,3713429.2,1723,763,367276.51,3713641.71,3802
30701,367408.33,3713425.03,1724,109,367276.51,3713641.71,3802
30702,367408.33,3713425.03,1724,742,367276.51,3713641.71,3802
30703,367304.26,3713429.2,1723,495,367539.75,3713752.54,203
30705,367397.88,3713458.78,1725,632,367276.51,3713641.71,3802
30706,367408.33,3713425.03,1724,538,367539.75,3713752.54,203
30707,367408.33,3713425.03,1724,1181,367276.51,3713641.71,3802
30708,367207.15,3713361.65,309,723,367276.51,3713641.71,3802
30709,367408.33,3713425.03,1724,579,367276.51,3713641.71,3802
30711,367207.15,3713361.65,309,1378,367276.51,3713641.71,3802
30712,367397.88,3713458.78,1725,655,367276.51,3713641.71,3802
30713,367207.15,3713361.65,309,477,367276.51,3713641.71,3802
30715,367408.33,3713425.03,1724,993,367539.75,3713752.54,203
30718,367197.15,3713395.16,710,372,367276.51,3713641.71,3802
30719,367408.33,3713425.03,1724,68,367276.51,3713641.71,3802
30720,367207.15,3713361.65,309,1335,367276.51,3713641.71,3802
30721,367207.15,3713361.65,309,760,367276.51,3713641.71,3802
30723,367197.15,3713395.16,710,767,367276.51,3713641.71,3802
30725,367304.26,3713429.2,1723,1112,367539.75,3713752.54,203
30727,367408.33,3713425.03,1724,484,367276.51,3713641.71,3802
30728,367314.57,3713394.91,1722,1011,367276.51,3713641.71,3802
30729,367304.26,3713429.2,1723,119,367276.51,3713641.71,3802
30730,367197.15,3713395.16,710,1267,367276.51,3713641.71,3802
30731,367408.33,3713425.03,1724,295,367276.51,3713641.71,3802
30732,367207.15,3713361.65,309,510,367276.51,3713641.71,3802
